prefix	name	description
AgBase	AgBase resource for functional analysis of agricultural plant and animal gene products	None
AGI_LocusCode	Arabidopsis Genome Initiative	Comprises TAIR, TIGR and MIPS
AGRICOLA_IND	AGRICultural OnLine Access	None
AlphaFold	AlphaFold Protein Structure Database	None
Alzheimers_University_of_Toronto	Alzheimers Project at University of Toronto	None
Animal_CorrDB	CorrDB	A database with curated publicly available trait correlation and inheritability data in livestock animal species. The link ID is called  The link ID is called Corr_ID on CorrDB data downloads.
Animal_QTLdb	QTLdb	A database with curated publicly available trait mapping data (QTL and SNP associations) in livestock animal species. The link ID is called QTL_ID on QTLdb data dpownloads.
APweb	Angiosperm Phylogeny Website	None
ARUK-UCL	Alzheimers Research Gene Ontology Initiative	None
AspGD_REF	Aspergillus Genome Database	None
BHF-UCL	Cardiovascular Gene Ontology Annotation Initiative	The Cardiovascular Gene Ontology Annotation Initiative is supported by the British Heart Foundation (BHF) and located at University College London (UCL).
CACAO	Community Assessment of Community Annotation with Ontologies	The Community Assessment of Community Annotation with Ontologies (CACAO) is a project to do large-scale manual community annotation of gene function using the Gene Ontology as a multi-institution student competition.
CAFA	Critical Assessment of Protein Function Annotation	None
CASGEN	Catalog of Fishes genus database	None
CASREF	Catalog of Fishes publications database	None
CGD_LOCUS	Candida Genome Database	None
CGD_REF	Candida Genome Database	None
CO_125	Crop Ontology CGIAR Musa Anatomy	None
COG_Function	NCBI COG function	None
CollecTF	Database of transcription factor binding sites (TFBS) in the Bacteria domain	None
cribi_vitis	Vitis CRIBI database	None
DDBJ	DNA Databank of Japan	None
dictyBase_gene_name	dictyBase	None
dictyBase_REF	dictyBase literature references	None
DTU	DTU Health Tech Services	Formerly CBS (Center for Biological Sequence Analysis)
EcoCyc_REF	Encyclopedia of E. coli metabolism	None
EMBL	EMBL Nucleotide Sequence Database	International nucleotide sequence database collaboration, comprising EMBL-EBI nucleotide sequence data library (EMBL-Bank), DNA DataBank of Japan (DDBJ), and NCBI GenBank
ENSEMBL_GeneID	Ensembl database of automatically annotated genomic data	None
ENSEMBL_ProteinID	Ensembl database of automatically annotated genomic data	None
ENSEMBL_TranscriptID	Ensembl database of automatically annotated genomic data	None
EnsemblPlants	Ensembl Plants, the Ensembl database for accessing genome-scale data from plants.	None
EnsemblProtists	Ensembl Protists, the Ensembl database for accessing genome-scale data from protists.	None
ENZYME	Swiss Institute of Bioinformatics enzyme database	None
EuPathDB	The Eukaryotic Pathogen Database	None
Eurofung	Eurofungbase community annotation	None
Gene3D	Domain Architecture Classification	None
Genesys-pgr	Gene DB, Genesys	None
GO_Central	GO Central	Manual annotation from PAINT curators into the UniProt Protein2GO curation tool.
GO_Noctua	GO Noctua	Manual annotation derived from LEGO annotations
GOC	Gene Ontology Consortium	None
GOC-OWL	Gene Ontology Consortium - Logical inferences	None
GONUTS	Gene Ontology Normal Usage Tracking System (GONUTS)	Third party documentation for GO and community annotation system.
GR	Gramene	None
GR_Ensembl	Gramene	None
GR_MUT	A Comparative Mapping Resource for Grains	None
GR_REF	Gramene	None
GRINDesc	Germplasm Resources Information Network	None
H-invDB	H-invitational Database	None
H-invDB_cDNA	H-invitational Database	None
H-invDB_locus	H-invitational Database	None
HGNC-UCL	UCL-based HGNC	While based at UCL, HGNC provided GO annotations for proteins during the process of assigning approved gene names and symbols
HPA_antibody	Human Protein Atlas antibody information	None
HUGO	Human Genome Organisation	None
IMG	Integrated Microbial Genomes; JGI web site for genome annotation	None
iPTMnet	iPTMnet protein post-translational modification database	None
IRGC	International Rice Genebank Collection	None
IRIC	International Rice Research Institute	None
IUPHAR/BPS	IUPHAR/BPS Guide to Pharmacology	None
Jaiswal_Lab	Jaiswal_Lab	None
JaponicusDB	JaponicusDB	None
LIFEdb	LifeDB	LifeDB is a database for information on protein localization, interaction, functional assays and expression.
MACSC_REF	Maize Genetics and Genomics Database	None
MaizeGDB_QTL	Maize Genetics and Genomics Database	None
MaizeGDB_REF	Maize Genetics and Genomics Database	None
MaizeGDB_stock	Maize Genetics and Genomics Database	None
MEROPS_fam	MEROPS peptidase database	None
MGCSC_GENETIC_STOCKS	Maize Genetics and Genomics Database	None
MIPS_funcat	MIPS Functional Catalogue	None
MITRE	The MITRE Corporation	None
ModBase	ModBase comprehensive Database of Comparative Protein Structure Models	None
NASC_code	Nottingham Arabidopsis Stock Centre Seeds Database	None
NC-IUBMB	Nomenclature Committee of the International Union of Biochemistry and Molecular Biology	None
NCBI	National Center for Biotechnology Information	None
NCBI_gi	NCBI databases	None
NCBI_GP	NCBI GenPept	None
NCBI_locus_tag	NCBI locus tag	None
NIF_Subcellular	Neuroscience Information Framework standard ontology, subcellular hierarchy	None
NTNU_SB	Norwegian University of Science and Technology, Systems Biology team	None
OMSSA	Open Mass Spectrometry Search Algorithm	None
ParkinsonsUK-UCL	Parkinsons Disease Gene Ontology Initiative	None
PATRIC	PathoSystems Resource Integration Center	PathoSystems Resource Integration Center at the Virginia Bioinformatics Institute
PhenoScape	PhenoScape Knowledgebase	None
PIR	Protein Information Resource	None
PlantSystematics_image_archive	PlantSystematics.org	None
PO_REF	Plant Ontology custom references	None
POC	Plant Ontology Consortium	None
Pompep	Schizosaccharomyces pombe protein data	None
PPI	Pseudomonas syringae community annotation project	None
protein_id	DDBJ / ENA / GenBank	protein identifier shared by DDBJ/EMBL-bank/GenBank nucleotide sequence databases
PseudoCAP	Pseudomonas Genome Project	None
PSORT	PSORT protein subcellular localization databases and prediction tools for bacteria	None
RAP-DB	Rice annotation Project database	None
RefGenome	GO Reference Genomes	None
RiceSES	Rice Knowledge Bank	None
Sanger	Wellcome Trust Sanger Institute	None
SGD_LOCUS	Saccharomyces Genome Database	None
SGD_REF	Saccharomyces Genome Database	None
SGN_germplasm	Sol Genomics Network	None
SGN_ref	Sol Genomics Network	None
Soy_gene	SoyBase	None
SOY_QTL	SoyBase	None
SOY_ref	SoyBase	None
SUPERFAMILY	SUPERFAMILY protein annotation database	A database of structural and functional protein annotations for completely sequenced genomes
SynGO	The Synapse Gene Ontology and Annotation Initiative	None
SynGO-UCL	The Synapse Gene Ontology and Annotation Initiative at UCL	None
SYSCILIA_CCNET	Syscilia	A systems biology approach to dissect cilia function and its disruption in human genetic disease
TGD_LOCUS	Tetrahymena Genome Database	None
TGD_REF	Tetrahymena Genome Database	None
TIGRFAMS	TIGRFAMs HMM collection at the J. Craig Venter Institute	None
TRANSFAC	TRANSFAC database of eukaryotic transcription factors	None
TreeGenes	Forest Tree Genome Database	None
UM-BBD	EAWAG Biocatalysis/Biodegradation Database	None
WikipediaVersioned	WikipediaVersioned	None
YeastFunc	Yeast Function	None
YuBioLab	CITGeneDB	CITGeneDB is a comprehensive database of human and mouse genes enhancing or suppressing Cold-Induced Thermogenesis (CIT).
